Number,Name,Type1,Type2,Pokedex,Label,Label_adjusted
413,Wormadam,Bug,Grass,when evolved its cloak became a part of this body the cloak is never shed its appearance changes depending on where it evolved the materials on hand become a part of its body when evolving its body takes in surrounding materials as a result there are many body variations it is said that a that evolves on a cold day will have a thicker cloak when evolving its body takes in surrounding materials as a result there are many body variations its appearance changes depending on where it evolved the materials on hand become a part of its body when evolved its cloak became a part of this body the cloak is never shed when evolves its cloak becomes a part of its body cloak is never shed its appearance changes depending on where it evolved the materials on hand become a part of its body the cloakfashioned from plant matterhas merged with the and is now part of the body like fur or skin i suspect this fusion is an effect of the energy involved in evolution its earthen skin is reasonably hardit has no problem repelling a pecking at least its body composed of refuse blends in to the scenery so much as to be inconspicuous this seems to be the perfect way for the to evade the detection of predators,0,0
414,Mothim,Bug,Flying,it loves the honey of flowers and steals honey collected by it does not keep a nest it flies over fields and mountains in constant search of floral honey while it loves floral honey it won t gather any itself instead it plots to steal some from it flutters around at night and steals honey from the hive while it loves floral honey it won t gather any itself instead it plots to steal some from it loves the honey of flowers and steals honey collected by it flutters around at night and steals honey from the hive it loves the nectar of flowers and steals nectar collected by it does not keep a nest it flies over fields and mountains in constant search of its much beloved nectar scatters steel colored scales as it flaps its wings despite being observed feeding primarily on the nectar of flowers is not often seen around flower gardens,0,0
415,Combee,Bug,Flying,a formed by three others it busily carries sweet floral honey to it collects and delivers honey to its colony at night they cluster to form a beehive and sleep the trio is together from birth it constantly gathers honey from flowers to please at night sleep in a group of about a thousand packed closely together in a lump the trio is together from birth it constantly gathers honey from flowers to please this is a set of three when they sleep they gather up and form a giant hive of the trio is together from birth it constantly gathers honey from flowers to please it collects and delivers honey to its colony at night they cluster to form a beehive and sleep the members of the trio spend all their time together each one has a slightly different taste in nectar it ceaselessly gathers nectar from sunrise to sundown all for the sake of and the swarm three joined to become one it busily carries sweet nectar to they collect and deliver honey to their colony at night they cluster to form a beehive and sleep they swear fealty to a queen and work diligently to gather nectar each swarm produces a different flavor of honey,0,0
416,Vespiquen,Bug,Flying,its abdomen is a honeycomb for grubs it raises its grubs on honey collected by when endangered grubs from its six cell honeycomb strike back there is only one in a colony it releases various pheromones to make the grubs in its body do its bidding while fighting foes it raises grubs in the holes in its body it secretes pheromones to control it releases various pheromones to make the grubs in its body do its bidding while fighting foes it houses its colony in cells in its body and releases various pheromones to make those grubs do its bidding it houses its colony in cells in its body and releases various pheromones to make those grubs do its bidding its abdomen is a honeycomb for grubs it raises its grubs on honey collected by it skillfully commands its grubs in battles with its enemies the grubs are willing to risk their lives to defend that give off more pheromones have larger swarms of attendants its abdomen is a honeycomb for grubs it raises its grubs on nectar collected by when it is in danger grubs from its six cell honeycomb strike back there is only one in a colony commands its subjects to build its hive it will dispatch any interlopers who dare sneak into its nest and use them as nourishment for itself,0,0
417,Pachirisu,Electric,,it makes fur balls that crackle with static electricity it stores them with berries in tree holes it makes electricity with pouches in its cheeks and shoots charges from its tail it lives atop trees a pair may be seen rubbing their cheek pouches together in an effort to share stored electricity it is one of the kinds of with electric cheek pouches it shoots charges from its tail a pair may be seen rubbing their cheek pouches together in an effort to share stored electricity it makes fur balls that crackle with static electricity it stores them with berries in tree holes a pair may be seen rubbing their cheek pouches together in an effort to share stored electricity it stores its own fur balls that crackle with static electricity together with its favorite berries in tree hollows it makes electricity with pouches in its cheeks and shoots charges from its tail it lives atop trees a species related to the line though is a calm it still presents a danger should one touch its electrified tail or cheeks,3,3
418,Buizel,Water,,it has a flotation sac that is like an inflatable collar it floats on water with its head out it swims by rotating its two tails like a screw when it dives its flotation sac collapses it spins its two tails like a screw to propel itself through water the tails also slice clinging seaweed it inflates its flotation sac keeping its face above water in order to watch for prey movement it spins its two tails like a screw to propel itself through water the tails also slice clinging seaweed it inflates the flotation sac around its neck and pokes its head out of the water to see what is going on it swims by rotating its two tails like a screw when it dives its flotation sac collapses it inflates the flotation sac around its neck and pokes its head out of the water to see what is going on when air fills the flotation sac on its neck the sac balloons like an inner tube this floats with its head out of the water it swims by rotating its two tails like a screw when it dives its flotation sac collapses it moves freely in the water by spinning its forked tail for propulsion the resemblance to the screw of a steamboat is coincidental,17,17
419,Floatzel,Water,,it floats using its well developed flotation sac it assists in the rescues of drowning people its flotation sac developed as a result of pursuing aquatic prey it can double as a rubber raft it is a common sight around fishing ports it is known to rescue people and carry off prey with its flotation sac inflated it can carry people on its back it deflates the sac before it dives it is a common sight around fishing ports it is known to rescue people and carry off prey it floats using its well developed flotation sac it assists in the rescues of drowning people its flotation sac developed as a result of pursuing aquatic prey it can double as a rubber raft it floats using its well developed flotation sac it assists in the rescues of drowning people its flotation sac developed as a result of pursuing aquatic prey carries people as if it were a rubber raft has a long rather splendid flotation sac which prevents from drowning even in stormy seas one might glimpse this species around fishing hamlets from time to time,17,17
420,Cherubi,Grass,,the small ball holds the nutrients needed for evolution apparently it is very sweet and tasty sunlight colors it red when the small ball is drained of nutrients it shrivels to herald evolution the small ball is not only filled with nutrients it is also tasty try to peck it off it evolves by sucking the energy out of the small ball where it had been storing nutrients the small ball is not only filled with nutrients it is also tasty try to peck it off sunlight colors it red when the small ball is drained of nutrients it shrivels to herald evolution it evolves by sucking the energy out of the small ball where it had been storing nutrients it nimbly dashes about to avoid getting pecked by bird that would love to make off with its small nutrient rich storage ball the deeper a red the more nutrients it has stockpiled in its body and the sweeter and tastier its small ball the small ball holds the nutrients needed for evolution apparently it is very sweet and tasty sunlight colors it red when the small ball is drained of nutrients and shriveled evolution is near once the fruit growing alongside the main body is large and plump will use the nutrients within to evolve the fruit then detaches becoming nourishment for other creatures,9,9
421,Cherrim,Grass,,it blooms during times of strong sunlight it tries to make up for everything it endured as a bud it is docile as a bud but turns cheerful when it blooms it folds back into a bud if sunlight wanes if it senses strong sunlight it opens its folded petals to absorb the sun rays with its whole body during times of strong sunlight its bud blooms its petals open fully and it becomes very active if it senses strong sunlight it opens its folded petals to absorb the sun rays with its whole body during times of strong sunlight its bud blooms its petals open fully and it becomes very active if it senses strong sunlight it opens its folded petals to absorb the sun rays with its whole body it blooms during times of strong sunlight the tries to make up for everything it endured as a bud it is docile as a bud and turns cheerful when it blooms it folds back into a bud if sunlight wanes motionless save for the occasional quiver a rich array of can be found gathered around it drawn by the scent exuded from folded petals as a bud it barely moves it sits still placidly waiting for sunlight to appear its folded petals are pretty tough bird can peck at them all they want and won t be bothered at all after absorbing plenty of sunlight takes this form it is full of energy while it is like this and its liveliness will go on until sundown the faint scent that emanates from its full blossom entices bug to it cheerfully active on sunny days immediately closes its petals and becomes immobile once the sun becomes hidden however,9,9
422,Shellos,Water,,its colors and shapes differ from region to region in the sinnoh region two types are confirmed it lives along bodies of water its body shape has changed to suit its habitat beware of pushing strongly on its squishy body as it makes a mysterious purple fluid ooze out its shape and coloration vary depending on its habitat beware of pushing strongly on its squishy body as it makes a mysterious purple fluid ooze out beware of pushing strongly on its squishy body as it makes a mysterious purple fluid ooze out its shape and coloration vary depending on its habitat its colors and shapes differ from region to region in the sinnoh region two types are confirmed it lives along bodies of water its body shape changed to suit its habitat found in abundance on seashores bordering warm waters are unexpectedly friendly and will crawl toward any person they see take care not to get coated in mucus lives in the sea and feasts on plankton the lovelier the ocean where resides the more vibrant its color becomes the difference in color from one to another seems to be a result of their diet no large changes can be seen in their capabilities when it senses danger it gushes a purple liquid some theories suggest this liquid is a greasy sweat induced by stress scientists interested in its great regenerative capabilities are currently analyzing the materials from which its cells are made there speculation that its appearance is determined by what it eats but the truth remains elusive its appearance changes depending on the environment one theory suggests that living in cold seas causes to take on this form for the most part it makes its home along the seashore its color and form differ according to its habitat and the quality of its food purple mucus sticks to the hands of anyone who touches it take care as the substance is troublesome to wash off while they normally live in the sea they can function on land too until their skin dries out when it senses danger a purple liquid oozes out of it the liquid is thought to be something like greasy sweat this habitat shapes its physique according to some theories life in warm ocean waters causes this variation to develop subjecting this to a strong force causes it to secrete a strange purple fluid though harmless the fluid is awfully sticky found in abundance on seashores bordering cold waters when pressed upon the will secrete from its body surface a purple fluid that will stain one clothes,17,17
423,Gastrodon,Water,Ground,it has a pliable body without any bones if any part of its body is torn off it grows right back it apparently had a huge shell for protection in ancient times it lives in shallow tidal pools long ago its entire back was shielded with a sturdy shell there are traces of it left in its cells when its ral enemy attacks it oozes purple fluid and escapes long ago its entire back was shielded with a sturdy shell there are traces of it left in its cells when its ral enemy attacks it oozes purple fluid and escapes it apparently had a huge shell for protection in ancient times it lives in shallow tidal pools it has a pliable body without any bones if any part of its body is torn off it grows right back it apparently had a huge shell for protection in ancient times it lives in shallow tidal pools eats beach sand for nourishment should one encounter another of a different color a fierce battle will inevitably ensue a team of researchers is scouring the oceans of the world in search of a in a color never seen before experiments are being conducted to discover what happens when a is raised in a location other than the sea where it was born when it is attacked it gushes a purple liquid that not poisonous but makes meat bitter and inedible a relative of and this ocean dweller sometimes comes onto land in search of food it secretes a purple fluid to deter enemies this fluid isn t poisonousinstead it is super sticky and once it sticks it is very hard to unstick its body is covered in a sticky slime it is very susceptible to dehydration so it can t spend too much time on land it has strong regenerative capabilities even if parts of it are bitten off by fish it will return to normal within a few hours plankton invisible to the naked eye is its main food source it comes onto the land periodically but the reason for this is not known long ago it had a shell on its back there now a vestigial plate on its back that hard but thin their shape and color change depending on their environment and diet there are many of them at beaches where the waves are calm its search for food sometimes leads it onto land where it leaves behind a sticky trail of slime as it passes through the softness of its body helps disperse the force of impacts so although its body is uncommonly squishy it is also surprisingly resilient found more often on the land than in the sea more active when it is cloudy or rainy out than when the weather is fair,17,17
424,Ambipom,Normal,,to eat it deftly shucks nuts with its two tails it rarely uses its arms now they work in large colonies and make rings by linking their tails apparently in friendship split into two the tails are so adept at handling and doing things rarely uses its hands they live on large trees they are said to communicate by connecting their tails to those of others it is very difficult to dodge the consecutive strikes of its two tails split into two the tails are so adept at handling and doing things rarely uses its hands they work in large colonies and make rings by linking their tails apparently in friendship to eat it deftly shucks nuts with its two tails it rarely uses its arms now in their search for comfortable trees they get into territorial disputes with groups of they win about half the time it uses its tails for everything if it wraps both of its tails around you and gives you a squeeze that proof it really likes you to eat it deftly shucks nuts with its two tails it rarely uses its arms now they work in large colonies and make rings by linking their tails apparently in friendship to affirm their kinship members of this species will form a ring by linking their newly doubled tails together on rare occasions humans have been accepted into such rings,12,12
425,Drifloon,Ghost,Flying,a formed by the spirits of people and it loves damp humid seasons it tugs on the hands of children to steal them away however it gets pulled around instead because of the way it floats aimlessly an old folktale calls it a signpost for wandering spirits it is whispered that any child who mistakes for a balloon and holds on to it could wind up missing because of the way it floats aimlessly an old folktale calls it a signpost for wandering spirits these are called the signpost for wandering spirits children holding them sometimes vanish a formed by the spirits of people and it loves damp humid seasons these are called the signpost for wandering spirits children holding them sometimes vanish stories go that it grabs the hands of small children and drags them away to the afterlife it dislikes heavy children if for some reason its body bursts its soul spills out with a screaming sound its round body is stuffed with souls and expands each time it leads someone away wandering souls gathered together to form this when trying to make friends with children grabs them by the hand perhaps seeking company it approaches children however it often quickly runs away again when the children play too roughly with it the gathering of many souls gave rise to this during humid seasons they seem to appear in abundance it is a formed by the spirits of people and it loves damp humid seasons it tugs on the hands of children to spirit them away however it gets pulled around instead said to lure away young children and carry them off to the afterlife some whisper that are formed of reincarnated human souls but these rumors are as yet unconfirmed,8,8
426,Drifblim,Ghost,Flying,it is drowzy in daytime but flies off in the evening in big groups no one knows where they go it carries people and when it flies but since it only drifts it can end up anywhere at dusk swarms of them are carried aloft on winds when noticed they suddenly vanish it can generate and release gas within its body that how it can control the altitude of its drift at dusk swarms of them are carried aloft on winds when noticed they suddenly vanish they carry people and but the wind can catch them so there can t be a fixed destination it carries people and when it flies but since it only drifts it can end up anywhere it is drowsy in daytime but flies off in the evening in big groups no one knows where they go there was once an incident in which a man took a trip riding a only to go missing even while under careful observation large flocks of flying at dusk will inexplicably disappear from view there a rumor that if you catch a floating on the wind at dusk you ll be carried away to the afterlife the raw material for the gas inside its body is souls when its body starts to deflate it is thought to carry away people and some say this is a collection of souls burdened with regrets silently drifting through the dusk it grabs people and and carries them off sohere where do they go nobody knows they re drowsy in daytime but fly off in the evening in big groups no one knows where they go it carries people and when it flies but since it only drifts it can end up anywhere it drifts along at dusk perfectly silent its transient melancholy aspect touches some people deeplyevery so often one will come upon a song or poem devoted to ,8,8
427,Buneary,Normal,,it slams foes by sharply uncoiling its rolled ears it stings enough to make a grown up cry in pain when it senses danger it perks up its ears on cold nights it sleeps with its head tucked into its fur its ears are always rolled up they can be forcefully extended to shatter even a large boulder you can tell how it feels by the way it rolls its ears when it is scared both ears are rolled up its ears are always rolled up they can be forcefully extended to shatter even a large boulder by extending its rolled up ears and striking the ground it can bound so high it surprises itself its ears are always rolled up they can be forcefully extended to shatter even a large boulder when it senses danger it perks up its ears on cold nights it sleeps with its head tucked into its fur its arms and legs are weak but when it rolls its ears up tight and then unleashes them with its full force it can smash boulders to dust the reason it keeps one ear rolled up is so it can launch a swift counterattack if it is attacked by an enemy if both of ears are rolled up something is wrong with its body or mind it is a sure sign the is in need of care can attack by rolling up their ears and then striking with the force created by unrolling them this attack becomes stronger with training it slams foes by sharply uncoiling its rolled ears it stings enough to make a grown up cry in pain when it senses danger it perks up its ears on cold nights it sleeps with its head tucked into its fur my hypothesis as to why rolls up its ears is that its hearing is far too keen i surmise that the protects its hearing by limiting the sound that may enter its ears,12,12
428,Lopunny,Normal,,an extremely cautious it cloaks its body with its fluffy ear fur when it senses danger it is very conscious of its looks and never fails to groom its ears it runs with sprightly jumps the ears appear to be delicate if they are touched roughly it kicks with its graceful legs it sheds its fur twice a year its winter fur is soft and fluffy the ears appear to be delicate if they are touched roughly it kicks with its graceful legs extremely cautious it quickly bounds off when it senses danger extremely cautious it quickly bounds off when it senses danger the ears appear to be delicate if they are touched roughly it kicks with its graceful legs regrows its coat twice a year mufflers and hats made from its fur are really warm it is notably wary and has a dislike of fighting but at the same time it can deliver powerful kicks with its lithe legs is constantly monitoring its surroundings if danger approaches this responds with superdestructive kicks once hot seasons are over coat will be replaced with fur that holds a lot of insulating air in preparation for colder weather an extremely cautious that cloaks its body with its fluffy ear fur when it senses danger it likes to keep itself clean and never fails to groom its ears it runs with sprightly jumps its fur is warm and yet remarkably light this kicks as though it were a master of karate driving back its opponents with ease it swings its ears like whips and strikes its enemies with them it has an intensely combative disposition mega evolution awakens its combative instincts it has shed any fur that got in the way of its attacks,12,12
429,Mismagius,Ghost,,its cries sound like incantations those hearing it are tormented by headaches and hallucinations it chants incantations while they usually torment targets some chants bring happiness its cry sounds like an incantation it is said the cry may rarely be imbued with happiness giving power its cries sound like incantations to torment the foe it appears where you least expect it its cry sounds like an incantation it is said the cry may rarely be imbued with happiness giving power it chants incantations while they usually torment targets some chants bring happiness its cries sound like incantations to torment the foe it appears where you least expect it it appears as if from nowheremuttering incantations placing curses and giving people terrifying visions have been known to cast spells to make people fall in love so some people search for this as if their life depended on it feared for its wrath and the curses it spreads this will also on a whim cast spells that help people its muttered curses can cause awful headaches or terrifying visions that torment others its cries sound like incantations those who hear it are tormented by headaches and hallucinations it chants incantations while these incantations can torment targets some bring happiness the incantations chants can ward against misfortune so a custom exists of inviting it into one home incur the displeasure however and disaster will surely ensue,8,8
430,Honchkrow,Dark,Flying,becoming active at night it is known to swarm with numerous in tow it makes its cronies bring it food it idles its time away grooming itself in its nest if one utters a deep cry many gather quickly for this it is called summoner of night it is merciless by re it is said that it never forgives the mistakes of its followers if one utters a deep cry many gather quickly for this it is called summoner of night if one utters a deep cry many gather quickly for this it is called summoner of night becoming active at night it is known to swarm with numerous in tow a single cry from this nocturnal and more than a hundred of its cronies will assemble if its cronies fail to catch food for it or if it feels they have betrayed it it will hunt them down wherever they are and punish them it will utely not forgive failure from or betrayal by its goons it has no choice in this if it wants to maintain the order of the flock its goons take care of most of the fighting for it the only time it dirties its own hands is in delivering a final blow to finish off an opponent becoming active at night it is known to form flocks with numerous in tow it makes its cronies bring it food it idles its time away grooming itself in its nest one cry from this and a murder of come flying at such times one would think the curtain of night had fallen plunging the world into jet black darkness,1,1
431,Glameow,Normal,,it claws if displeased and purrs when affectionate its fickleness is very popular among some with its sharp glare it puts foes in a mild tic state it is a very fickle it hides its spiteful tendency of hooking its claws into the nose of its trainer if it isn t fed when it is happy demonstrates beautiful movements of its tail like a dancing ribbon it hides its spiteful tendency of hooking its claws into the nose of its trainer if it isn t fed it claws if displeased and purrs when affectionate its fickleness is very popular among some when it is happy demonstrates beautiful movements of its tail like a dancing ribbon it claws if displeased and purrs when affectionate its fickleness is very popular among some with its sharp glare it puts foes in a mild tic state it is a very fickle bewitches humans with its helical tail and piercing gaze its hidden claws are quite sharp as well making this an exceedingly tricky opponent if antagonized,12,12
432,Purugly,Normal,,it is a brazen brute that barges its way into another nest and claims it as its own to make itself appear intimidatingly beefy it tightly cinches its waist with its twin tails it binds its body with its tails to make itself look bigger if it locks eyes it will glare ceaselessly it would claim another nest as its own if it finds a nest sufficiently comfortable it binds its body with its tails to make itself look bigger if it locks eyes it will glare ceaselessly it would claim another nest as its own if it finds a nest sufficiently comfortable to make itself appear intimidatingly beefy it tightly cinches its waist with its twin tails it is a brazen brute that barges its way into another nest and claims it as its own to make itself appear intimidatingly beefy it tightly cinches its waist with its split tail though impudent and difficult to tame enjoys great popularity due to its fur the beauty of which surpasses even velveteen,12,12
433,Chingling,Psychic,,it emits cries by agitating an orb at the back of its throat it moves with flouncing hops each time it hops it makes a ringing sound it deafens foes by emitting high frequency cries there is an orb inside its mouth when it hops the orb bounces all over and makes a ringing sound it emits high frequency cries that people can t hear once it starts it can cry for an awfully long time there is an orb inside its mouth when it hops the orb bounces all over and makes a ringing sound each time it hops it makes a ringing sound it deafens foes by emitting high frequency cries there is an orb inside its mouth when it hops the orb bounces all over and makes a ringing sound it emits cries by agitating an orb at the back of its throat it moves with flouncing hops each time it hops it makes a ringing sound it deafens foes by emitting high frequency cries this gave me an excruciating headache when it seemingly cried out without making a sound perhaps there are some sounds that the human ear is simply incapable of hearing,14,14
434,Stunky,Poison,Dark,it protects itself by spraying a noxious fluid from its rear the stench lingers for hours it sprays a nose curling stinky fluid from its rear to repel attackers it sprays a foul fluid from its rear its stench spreads over a mile radius driving away the foul fluid from its rear is so revolting that it can make people feel queasy up to a mile and a quarter away it sprays a foul fluid from its rear its stench spreads over a mile radius driving away it sprays a foul fluid from its rear its stench spreads over a mile radius driving away it protects itself by spraying a noxious fluid from its rear the stench lingers for hours from its rear it sprays a foul smelling liquid at opponents it aims for their faces and it can hit them from over feet away if it lifts its tail and points its rear at you beware it is about to spray you with a fluid stinky enough to make you faint it protects itself by spraying a noxious fluid from its rear the stench lingers for hours it sprays a nose curling stinky fluid from its rear to repel attackers the poison that gushes from its aft end is accompanied by an utterly evil smelling odor with such potency that one whiff can induce memory loss,13,13
435,Skuntank,Poison,Dark,it sprays a vile smelling fluid from the tip of its tail to attack its range is over feet it sprays a stinky fluid from its tail the fluid smells worse the longer it is allowed to fester it attacks by spraying a horribly smelly fluid from the tip of its tail attacks from above confound it it attacks by spraying a repugnant fluid from its tail but the stench dulls after a few squirts it attacks by spraying a horribly smelly fluid from the tip of its tail attacks from above confound it it sprays a vile smelling fluid from the tip of its tail to attack its range is over feet it sprays a stinky fluid from its tail the fluid smells worse the longer it is allowed to fester in its belly it reserves stinky fluid that it shoots from its tail during battle as this diet varies so does the stench of its fluid it digs holes in the ground to make its nest the stench of the fluid it lets fly from the tip of its tail is extremely potent it sprays a vile smelling fluid from the tip of its tail to attack it can fire this spray more than feet it sprays a stinky fluid from its tail the fluid smells worse the longer it is allowed to fester in its belly sprays a poisonous fluid to take down prey sometimes unable to stomach the stench of its own fluid it leaves the bested prey uneaten,13,13
436,Bronzor,Steel,Psychic,implements shaped like it were discovered in ancient tombs it is unknown if they are related x ray photos were taken to check its body structure nothing appeared however there are researchers who believe this reflected like a mirror in the distant past ancient people believed that the pattern on back contained a mysterious power there are researchers who believe this reflected like a mirror in the distant past they are found in ancient tombs the patterns on their backs are said to be imbued with mysterious power ancient people believed that the pattern on back contained a mysterious power implements shaped like it were discovered in ancient tombs it is unknown if they are related it appears in ancient ruins the pattern on its body doesn t come from any culture in the galar region so it remains shrouded in mystery polishing to a shine makes its surface reflect the truth according to common lore be that as it may hates being polished implements shaped like were discovered in ancient tombs it is unknown whether they are related x ray photos were taken to check its body structure but nothing was seen floats using a mysterious energy the pattern engraved upon its back is held as sacred and can sometimes be found in imagery from ancient cemeteries and other such tiorn places,16,16
437,Bronzong,Steel,Psychic,one caused a news sensation when it was dug up at a construction site after a year sleep it can summon rain clouds people long ago revered it as the bringer of plentiful harvests it brought rains by opening portals to another world it was revered as a bringer of plentiful harvests ancient people believed that petitioning for rain was the way to make crops grow it brought rains by opening portals to another world it was revered as a bringer of plentiful harvests in ages past this was revered as a bringer of rain it was found buried in the ground in ages past this was revered as a bringer of rain it was found buried in the ground ancient people believed that petitioning for rain was the way to make crops grow some believe it to be a deity that summons rain clouds when angered it lets out a warning cry that rings out like the tolling of a bell many scientists suspect that this originated outside the galar region based on the patterns on its body one caused a media storm when it was dug up at a construction site after a year sleep it can summon rain clouds people long ago revered it as the bringer of plentiful harvests some believe that its bell like cry opens holes to another world it has been revered as a deity since ancient times,16,16
438,Bonsly,Rock,,it looks as if it is always crying it is actually adjusting its body fluid levels by eliminating excess it prefers arid environments it leaks water from its eyes to adjust its body fluid levels it prefers an arid atmosphere it leaks water that looks like tears when adjusting its moisture level in order to adjust the level of fluids in its body it exudes water from its eyes this makes it appear to be crying it prefers an arid atmosphere it leaks water that looks like tears when adjusting its moisture level it prefers arid environments it leaks water from its eyes to adjust its body fluid levels it prefers an arid atmosphere it leaks water that looks like tears when adjusting its moisture level it does not deal well with water so it lives in dry locales since its surroundings tend to lack greenery it stands out noticeably from its eyes it can expel excess moisture from its body this liquid is similar in composition to human sweat it discharges moisture from its eyes making it look like it is cryingapparently an effective way of getting enemies to let down their guard if its body gets too damp it will die so in a process reminiscent of sweating its eyes expel moisture it expels both sweat and tears from its eyes the sweat is a little salty while the tears have a slight bitterness this lives in dry rocky areas as its green spheres dry out their dull luster increases it looks as if it is always crying it is actually adjusting its body fluid levels by eliminating excess it prefers arid environments it leaks water from its eyes to adjust its body fluid levels its tears elicit sympathy from those who see them but do not be deceived this expulsion of body water is merely a physiological mechanism for keeping itself in good health,15,15
439,Mime Jr.,Psychic,Fairy,it habitually mimics foes once mimicked the foe cannot take its eyes off this it likes places where people gather it mimics foes to confuse them then makes its getaway it mimics the expressions and motions of those it sees to understand the feelings of others in an attempt to confuse its enemy it mimics the enemy movements then it wastes no time in making itself scarce it mimics the expressions and motions of those it sees to understand the feelings of others in an attempt to confuse its enemy it mimics the enemy movements then it wastes no time in making itself scarce it habitually mimics foes once mimicked the foe cannot take its eyes off this it does its ute best to mimic the movements and expressions of its opponents but it is still not very good at it when this gifted mimic surprises an opponent feels so happy that it ends up forgetting it was imitating something it mimics everyone it sees but it puts extra effort into copying the graceful dance steps of mr rime as practice it looks for a mr rime that a good dancer and carefully copies the mr rime steps like an apprentice it habitually mimics foes the mimicked foe is said to be unable to look away from it likes places where people gather it mimics foes to confuse them then makes its getaway known to turn up in bustling marketplaces now and again it mimics people much as a child would then watches how they react eyes sparkling,14,14
440,Happiny,Normal,,it loves round white things it carries an egg shaped rock in imitation of it carries a round egg shaped rock in its belly pouch and gives the rock to its friends it likes to carry around a small rock it may wander around others feet and cause them to stumble it carefully carries a round white rock that it thinks is an egg it is bothered by how curly its hair looks it likes to carry around a small rock it may wander around others feet and cause them to stumble it carries a round egg shaped rock in its belly pouch and gives the rock to its friends it carefully carries a round white rock that it thinks is an egg it is bothered by how curly its hair looks it carries a round white rock in its belly pouch if it gets along well with someone it will sometimes give that person the rock it is too small to lay eggs yet as a surrogate it searches out round white stones usually it is a well behaved but if you take its round rock away it will cry and fuss and throw a big old tantrum when it sees something round and white puts it into the pouch on its stomach it sometimes becomes overloaded and can t move mimicking will place an egg shaped stone in its belly pouch will treasure this stone willing to lend its precious round stone to those it is friendly with but if the stone isn t returned will cry and throw a tantrum it loves round white things it carries an egg shaped rock in imitation of it carries a round egg shaped rock in its belly pouch and gives the rock to its friends in imitation of it keeps a round stone tucked into its belly pouch and cherishes it dearly it gets along well with children and will sometimes play house with them for fun,12,12
441,Chatot,Normal,Flying,it can learn and speak human words if they gather they all learn the same saying it keeps rhythm by flicking its tail feathers like a metronome it imitates human speech its tongue is just like a human s as a result it can cleverly mimic human speech it mimics the cries of other to trick them into thinking it is one of them this way they won t attack it its tongue is just like a human s as a result it can cleverly mimic human speech it mimics the cries of other to trick them into thinking it is one of them this way they won t attack it it can learn and speak human words if they gather they all learn the same saying they can learn and speak human words if they gather they all learn the same saying it keeps rhythm by flicking its tail feathers like a metronome it also imitates human speech a versatile performer skilled in the imitation of human speech it is said that older more experienced can even understand the meaning of the words they mimic,12,7
442,Spiritomb,Ghost,Dark,a that was formed by spirits it is bound to a fissure in an odd keystone it was bound to a fissure in an odd keystone as punishment for misdeeds years ago its constant mischief and misdeeds resulted in it being bound to an odd keystone by a mysterious spell it was formed by uniting spirits it has been bound to the odd keystone to keep it from doing any mischief its constant mischief and misdeeds resulted in it being bound to an odd keystone by a mysterious spell a that was formed by spirits it is bound to a fissure in an odd keystone it was bound to a fissure in an odd keystone as punishment for misdeeds years ago exactly spirits gathered to become this apparently there are some ill red spirits in the mix all mischief and misdeeds compelled a traveler to use a mysterious spell to bind to an odd keystone it is a that was formed by spirits it is bound to a fissure in an odd keystone it was bound to a fissure in an odd keystone as punishment for misdeeds years ago it lays curses by thinking wicked thoughts writings tell that this was born out of the assembly of five score and eight malevolent spirits,8,8
443,Gible,Dragon,Ground,it nests in small horizontal holes in cave walls it pounces to catch prey that stray too close it once lived in the tropics to avoid the cold it lives in caves warmed by geothermal heat it attacks using its huge mouth while its attacks are powerful it hurts itself out of clumsiness too it nests in horizontal holes warmed by geothermal heat foes who get too close can expect to be pounced on and bitten it attacks using its huge mouth while its attacks are powerful it hurts itself out of clumsiness too it nests in horizontal holes warmed by geothermal heat foes who get too close can expect to be pounced on and bitten it nests in small horizontal holes in cave walls it pounces to catch prey that stray too close it lives in caves warmed by geothermal heat even so when the weather gets cold it will huddle close with others of its kind it skulks in caves and when prey or an enemy passes by it leaps out and chomps them the force of its attack sometimes chips its teeth it reacts to anything that movesflies right at it and bites it sometimes it injures itself but it doesn t care too much its original home is an area much hotter than alola if you re planning to live with one your heating bill will soar prefers to stay in narrow holes in the sides of caves heated by geothermal energy this way can stay warm even during a blizzard attacks anything that moves and it drags whatever it catches into the crevice that is its lair despite the big mouth stomach is small it nests in small horizontal holes in cave walls it pounces to catch prey that stray too close it once lived in the tropics to avoid the cold it lives in caves warmed by geothermal heat it nests in caves untouched by sunlight its sharp teeth may fall out when worn away or after an impact but they regrow within a few days,2,2
